CONTRACT_ID,PLAN_ID,insurer_name,plan_name,insurer_group,restrictiveness_score,formulary_pa_rate,denial_rate_ma,geographic_reach_counties,mn_presence
H5433,001,ORANGE COUNTY HEALTH AUTHORITY,CalOptima Health OneCare Complete (HMO D-SNP),Other,0.2544376278118609,0.376441717791411,,1,False
S2893,001,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Blue MedicareRx Value Plus (PDP),Elevance Health (Anthem),0.243819400796145,0.3444374607165305,0.041,1,False
S5795,003,USABLE MUTUAL INSURANCE COMPANY,BlueMedicare Value Rx (PDP),Other,0.243819400796145,0.3444374607165305,,1,False
H4371,001,"SENIOR WHOLE HEALTH, LLC",Molina One Care (HMO D-SNP),Molina Healthcare,0.2397798742138365,0.3352004716981132,,9,False
H2224,001,"SENIOR WHOLE HEALTH, LLC",Senior Whole Health SCO (HMO D-SNP),Molina Healthcare,0.2397798742138365,0.3352004716981132,,9,False
H2224,003,"SENIOR WHOLE HEALTH, LLC",Senior Whole Health SCO NHC (HMO D-SNP),Molina Healthcare,0.2397798742138365,0.3352004716981132,,9,False
H5628,001,"MOLINA HEALTHCARE OF UTAH, INC.",Molina Medicare Complete Care (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,23,False
H3093,001,"MOLINA HEALTHCARE OF ILLINOIS, INC.",Molina Medicare Complete Care Plus (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,24,False
H5628,012,"MOLINA HEALTHCARE OF UTAH, INC.",Molina Medicare Complete Care Select (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,23,False
H3093,002,"MOLINA HEALTHCARE OF ILLINOIS, INC.",Molina Medicare Complete Care Plus (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,35,False
H5649,024,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Dual Access Plan (HMO D-SNP),Other,0.2397266819571865,0.3319954128440367,,17,False
H5810,014,MOLINA HEALTHCARE OF CALIFORNIA,Molina Medicare Choice Care (HMO),Molina Healthcare,0.2397266819571865,0.3319954128440367,,6,False
H5649,009,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Medi-Medi Plan II (HMO D-SNP),Other,0.2397266819571865,0.3319954128440367,,1,False
H5649,001,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Central Health Medicare Plan (HMO),Other,0.2397266819571865,0.3319954128440367,,5,False
H5628,014,"MOLINA HEALTHCARE OF UTAH, INC.",Molina Medicare Complete Care Select (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,43,False
H5628,013,"MOLINA HEALTHCARE OF UTAH, INC.",Molina Medicare Complete Care (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,43,False
H5209,006,"Molina Healthcare of Wisconsin, Inc.",My Choice Wisconsin Medicare Dual Advantage Plan (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,44,False
H6515,004,"MOLINA HEALTHCARE OF TEXAS, INC.",Molina Medicare Complete Care Plus (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,1,False
H1799,003,"MOLINA HEALTHCARE OF KENTUCKY, INC.",Passport Advantage (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,75,False
H1799,004,"MOLINA HEALTHCARE OF KENTUCKY, INC.",Molina Medicare Complete Care (HMO D-SNP),Molina Healthcare,0.2397266819571865,0.3319954128440367,,3,False
